Año,16-29,30-44,45-64,65+
2008,18.100000000000001,17.600000000000001,15.199999999999999,25.5
2009,18.300000000000001,18.5,16,23.800000000000001
2010,21.399999999999999,18.800000000000001,16.399999999999999,21.800000000000001
2011,22.300000000000001,19.699999999999999,17.100000000000001,19.800000000000001
2012,25.300000000000001,21.199999999999999,18,14.800000000000001
2013,24.199999999999999,20.699999999999999,19,12.699999999999999
2014,27.600000000000001,22.899999999999999,21,11.4
2015,29.199999999999999,21.800000000000001,21.399999999999999,12.300000000000001
2016,29.600000000000001,21.300000000000001,21.899999999999999,13
2017,28.5,19.699999999999999,20.600000000000001,14.800000000000001
2018,28.300000000000001,19.300000000000001,21.300000000000001,15.6
2019,26.5,18.800000000000001,19.699999999999999,14.5
2020,22.699999999999999,19.399999999999999,19.199999999999999,18.800000000000001
2021,24.600000000000001,21.100000000000001,19.699999999999999,17.5
2022,22.300000000000001,19.199999999999999,18,18.699999999999999
